r0 2 17
 l1 d0 2, l5 a0
  t12 s131 d510 1 127 0 0 0 3%0421575|-|, a521 1
  t13 s133 d525 1 127 0 0 0 3%0421575|-|, a536 1
  t14 s135 d540 1 127 0 0 0 3%0421575|-|, a551 1
  t15 s137 d555 1 127 0 0 0 3%0421575|-|, a566 1
  t16 s139 d570 1 127 0 0 0 3%0421575|-|, a581 1
  t17 s141 d585 1 127 0 0 0 3%0421575|-|, a596 1
  t18 s143 d600 1 127 0 0 0 3%0421575|-|, a611 1
  t19 s145 d615 1 127 0 0 0 3%0421575|-|, a626 1
  t20 s147 d630 1 127 0 0 0 3%0421575|-|, a641 1
  t21 s149 d645 1 127 0 0 0 3%0421575|-|, a656 1
  t22 s151 d660 1 127 0 0 0 3%0421575|-|, a671 1
  t23 s153 d675 1 127 0 0 0 3%0421575|-|, a686 1
  t24 s155 d690 1 127 0 0 0 3%0421575|-|, a701 1
  t25 s157 d705 1 127 0 0 0 3%0421575|-|, a716 1
  t26 s159 d720 1 127 0 0 0 3%0421575|-|, a731 1
  t27 s161 d735 1 127 0 0 0 3%0421575|-|, a746 1
  t28 s163 d750 1 127 0 0 0 3%0421575|-|, a761 1
  t29 s165 d765 1 127 0 0 0 3%0421575|-|, a776 1
  t30 s167 d780 1 127 0 0 0 3%0421575|-|, a791 1
  t31 s169 d795 1 127 0 0 0 3%0421575|-|, a806 1
  t32 s171 d810 1 127 0 0 0 3%0421575|-|, a821 1
  t33 s173 d825 1 127 0 0 0 3%0421575|-|, a836 1
  t34 s175 d840 1 127 0 0 0 3%0421575|-|, a851 1
  t35 s177 d855 1 127 0 0 0 3%0421575|-|, a866 1
  t36 s179 d870 1 127 0 0 0 3%0421575|-|, a881 1
  t37 s181 d885 1 127 0 0 0 3%0421575|-|, a896 1
  t38 s183 d900 1 127 0 0 0 3%0421575|-|, a911 1
  t39 s185 d915 1 127 0 0 0 3%0421575|-|, a926 1
  t40 s187 d930 1 127 0 0 0 3%0421575|-|, a941 1
  t41 s189 d945 1 127 0 0 0 3%0421575|-|, a956 1
  t42 s191 d960 1 127 0 0 0 3%0421575|-|, a971 1
  t43 s193 d975 1 127 0 0 0 3%0421575|-|, a986 1
  t44 s195 d990 1 127 0 0 0 3%0421575|-|, a1001 1
  t45 s197 d1005 1 127 0 0 0 3%0421575|-|, a1016 1
  t46 s199 d1020 1 127 0 0 0 3%0421575|-|, a1031 1
  t47 s201 d1035 1 127 0 0 0 3%0421575|-|, a1046 1
  t48 s203 d1050 1 127 0 0 0 3%0421575|-|, a1061 1
  t49 s205 d1065 1 127 0 0 0 3%0421575|-|, a1076 1
  t50 s207 d1080 1 127 0 0 0 3%0421575|-|, a1091 1
  t51 s209 d1095 1 127 0 0 0 3%0421575|-|, a1106 1
  t52 s211 d1110 1 127 0 0 0 3%0421575|-|, a1121 1
  t53 s213 d1125 1 127 0 0 0 3%0421575|-|, a1136 1
  t54 s215 d1140 1 127 0 0 0 3%0421575|-|, a1151 1
  t55 s217 d1155 1 127 0 0 0 3%0421575|-|, a1166 1
  t56 s219 d1170 1 127 0 0 0 3%0421575|-|, a1181 1
  t57 s221 d1185 1 127 0 0 0 3%0421575|-|, a1196 1
  t58 s223 d1200 1 127 0 0 0 3%0421575|-|, a1211 1
  t59 s225 d1215 1 127 0 0 0 3%0421575|-|, a1226 1
  t60 s227 d1230 1 127 0 0 0 3%0421575|-|, a1241 1
  t61 s229 d1245 1 127 0 0 0 3%0421575|-|, a1256 1
  t62 s231 d1260 1 127 0 0 0 3%0421575|-|, a1271 1
  t63 s233 d1275 1 127 0 0 0 3%0421575|-|, a1286 1
  t64 s235 d1290 1 127 0 0 0 3%0421575|-|, a1301 1
  t65 s237 d1305 1 127 0 0 0 3%0421575|-|, a1316 1
  t66 s239 d1320 1 127 0 0 0 3%0421575|-|, a1331 1
  t67 s241 d1335 1 127 0 0 0 3%0421575|-|, a1346 1
  t68 s243 d1350 1 127 0 0 0 3%0421575|-|, a1361 1
  t69 s245 d1365 1 127 0 0 0 3%0421575|-|, a1376 1
  t70 s247 d1380 1 127 0 0 0 3%0421575|-|, a1391 1
r3 2 18
 l4 d0 3, l1 a0
  t0 s249 d330 1 124 0 0 0 4%7768667|-|, a352 1
  t1 s251 d390 1 124 0 0 0 4%7768667|-|, a412 1
  t2 s253 d450 1 124 0 0 0 4%7768667|-|, a472 1
  t3 s255 d510 1 124 0 0 0 4%7768667|-|, a532 1
  t4 s257 d570 1 124 0 0 0 4%7768667|-|, a592 1
  t5 s259 d630 1 124 0 0 0 4%7768667|-|, a652 1
  t6 s261 d690 1 124 0 0 0 4%7768667|-|, a712 1
  t7 s263 d750 1 124 0 0 0 4%7768667|-|, a772 1
  t8 s265 d810 1 124 0 0 0 4%7768667|-|, a832 1
  t9 s267 d870 1 124 0 0 0 4%7768667|-|, a892 1
  t10 s269 d930 1 124 0 0 0 4%7768667|-|, a952 1
  t11 s271 d990 1 124 0 0 0 4%7768667|-|, a1012 1
  t12 s273 d1050 1 124 0 0 0 4%7768667|-|, a1072 1
  t13 s275 d1110 1 124 0 0 0 4%7768667|-|, a1132 1
  t14 s277 d1170 1 124 0 0 0 4%7768667|-|, a1192 1
  t15 s279 d1230 1 124 0 0 0 4%7768667|-|, a1252 1
  t16 s281 d1290 1 124 0 0 0 4%7768667|-|, a1312 1
  t17 s283 d1350 1 124 0 0 0 4%7768667|-|, a1372 1
r4 3 18
 l2 d0 1, l1 a0 d0 1, l5 a0
  t0 s285 d355 1 127 0 0 0 5%0837687|-|, a365 1 d371 1 127 0 0 0 5%0837687|-|, a405 1
  t1 s288 d415 1 127 0 0 0 5%0837687|-|, a425 1 d431 1 127 0 0 0 5%0837687|-|, a465 1
  t2 s291 d475 1 127 0 0 0 5%0837687|-|, a485 1 d491 1 127 0 0 0 5%0837687|-|, a525 1
  t3 s294 d535 1 127 0 0 0 5%0837687|-|, a545 1 d551 1 127 0 0 0 5%0837687|-|, a585 1
  t4 s297 d595 1 127 0 0 0 5%0837687|-|, a605 1 d611 1 127 0 0 0 5%0837687|-|, a645 1
  t5 s300 d655 1 127 0 0 0 5%0837687|-|, a665 1 d671 1 127 0 0 0 5%0837687|-|, a705 1
  t6 s303 d715 1 127 0 0 0 5%0837687|-|, a725 1 d731 1 127 0 0 0 5%0837687|-|, a765 1
  t7 s306 d775 1 127 0 0 0 5%0837687|-|, a785 1 d791 1 127 0 0 0 5%0837687|-|, a825 1
  t8 s309 d835 1 127 0 0 0 5%0837687|-|, a845 1 d851 1 127 0 0 0 5%0837687|-|, a885 1
  t9 s312 d895 1 127 0 0 0 5%0837687|-|, a905 1 d911 1 127 0 0 0 5%0837687|-|, a945 1
  t10 s315 d955 1 127 0 0 0 5%0837687|-|, a965 1 d971 1 127 0 0 0 5%0837687|-|, a1005 1
  t11 s318 d1015 1 127 0 0 0 5%0837687|-|, a1025 1 d1031 1 127 0 0 0 5%0837687|-|, a1065 1
  t12 s321 d1075 1 127 0 0 0 5%0837687|-|, a1085 1 d1091 1 127 0 0 0 5%0837687|-|, a1125 1
  t13 s324 d1135 1 127 0 0 0 5%0837687|-|, a1145 1 d1151 1 127 0 0 0 5%0837687|-|, a1185 1
  t14 s327 d1195 1 127 0 0 0 5%0837687|-|, a1205 1 d1211 1 127 0 0 0 5%0837687|-|, a1245 1
  t15 s330 d1255 1 127 0 0 0 5%0837687|-|, a1265 1 d1271 1 127 0 0 0 5%0837687|-|, a1305 1
  t16 s333 d1315 1 127 0 0 0 5%0837687|-|, a1325 1 d1331 1 127 0 0 0 5%0837687|-|, a1365 1
  t17 s336 d1375 1 127 0 0 0 5%0837687|-|, a1385 1 d1391 1 127 0 0 0 5%0837687|-|, a1425 1
r5 3 1
 l6 d0 1, l7 a0 d0 1, l8 a0
  t0 s339 d600 1 124 0 0 0 4452549%4452549|-|, a632 1 d634 1 124 0 0 0 4452549%4452549|-|, a667 1
